case_id,customer_name,service,case_billing_region,customer_billing_country_name,comm_owner_agent_login,comm_body,case_creation_cal_date,comm_subject,comm_date_utc,case_severity,processed_text
7380196011,RBL Bank Limited,Elastic Compute Cloud (EC2 - Linux),APAC,INDIA,rayaans,"Hi Team,  we have instance currently undergoing with high cpu utilization. After checking top process I found that application java is currently using maximum of its cpu. But I'm not able to find that exactly which file or process within it is utilizing cpu. Can you please help me to find out about same? Instance ID(s): i-03a21c5ec8fc1df57","Sep 14, 2020",Chat: high cpu utilization of server,"September 14, 2020 6:40:59",4,hi team instance cpu utilization process application java maximum cpu file process cpu instance id
7380321081,Edelweiss Financial Services Ltd,Elastic Compute Cloud (EC2 - Windows),APAC,INDIA,shrmjj,"Hi team,  we are not able to fetch ec2 system log from aws console for some instance.  can you please check Instance ID(s): i-0391c69c4df67be97 Timestamp (YYYY-MM-DD HH:MM:SS UTC):","Sep 14, 2020",Call: unable to fetch system logs,"September 14, 2020 7:11:41",4,hi team ec2 system log console instance instance id timestamp
7380672281,Go Digit General Insurance Limited,Elastic Compute Cloud (EC2 - Linux),APAC,INDIA,siljeurc,"Hi Raghavendra,   Just a quick recap of our chat today.   You reached out because commands were not executing on EC2 instance i-07e6b45549a66edd3. We were not able to complete our investigation as you became unresponsive on chat and, therefore, I had to disconnect. We ran the 'echo $SHELL' command to confirm that you were using a bash shell. The next thing I wanted to check was the path variable - could you please check this?  This is what a standard path variable looks like on an Amazon Linux 2 instance: ---------- $ echo $PATH /usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/home/ec2-user/.local/bin:/home/ec2-user/bin ----------  Please provide the output of the same command so we can compare.   We value your feedback. Please share your experience by rating this correspondence using the AWS Support Center link at the end of this correspondence. Each correspondence can also be rated by selecting the stars in top right corner of each correspondence within the AWS Support Center.  Best regards, Chad S Amazon Web Services  ===============================================================  To share your experience or contact us again about this case, please return to the AWS Support Center using the following URL: https://console.aws.amazon.com/support/home#/case/?displayId=7380672281&language=en  Note, this e-mail was sent from an address that cannot accept incoming e-mails. To respond to this case, please follow the link above to respond from your AWS Support Center.  ===============================================================  AWS Support: https://aws.amazon.com/premiumsupport/knowledge-center/  AWS Documentation: https://docs.aws.amazon.com/  AWS Cost Management: https://aws.amazon.com/aws-cost-management/  AWS Training: http://aws.amazon.com/training/  AWS Managed Services: https://aws.amazon.com/managed-services/","Sep 14, 2020",RE:[CASE 7380672281] no command is not exeucting,"September 14, 2020 10:48:40",4,hi raghavendra recap chat today command ec2 instance investigation chat therefore shell command bash shell thing path variable path look amazon instance path please output command value feedback please share experience rating correspondence support center link end correspondence correspondence star right corner correspondence support center regard amazon web service share experience case return support center url http aws note address case link support center support http amazon documentation http aws cost management http amazon http amazon service amazon
7380713151,Go Digit General Insurance Limited,Elastic Compute Cloud (EC2 - Linux),APAC,INDIA,lonesaji,"Hello Balaji,  This is Sajid from AWS Premium Support. It was nice talking to you today. Due to the chat session being disconnected, we couldn't communicate further hence I would like to share the summary of our conversation and some further details regarding the concern.  You have created AMI ami-06f9510ad91a91d46 from Instance i-059c44b84a20b51c2 on 2020-09-13 18:31 UTC. But, when you launched Instance i-0762e9f2647798da4 using this created AMI, it was facing 1/2 issue. Hence needed our assistance regarding the same.  Using our internal tools, I have investigated the provided Instance i-0762e9f2647798da4 and could see that this Instance was continuously failing Instance status checks from the time it was launched, which is evident from the graph [1]. Kindly note that there can be many reasons for these Instance status check failures, following are examples of problems that can cause instance status checks to fail:  * Failed system status checks which means there is some issue on the underlying host on which the instance is running. * Incorrect networking or startup configuration * Exhausted memory * Corrupted file system * Incompatible kernel  I investigated the underlying hardware on which the instance i-0762e9f2647798da4 is/was running, but couldn't find anything out of ordinary with them, which is evident from the graph below:  StatusCheckFailed_System: https://console.aws.amazon.com/cloudwatch/home?region=ap-south-1#metricsV2:graph=~%28region~%27ap-south-1~metrics~%28~%28~%27AWS*2fEC2~%27StatusCheckFailed_System~%27InstanceId~%27i-0762e9f2647798da4%29%29~period~300~stat~%27Sum~start~%272020-09-13T09*3a49*3a28Z~end~%272020-09-14T09*3a49*3a28Z%29  To know more about status check failures please refer the link https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/monitoring-system-instance-status-check.html  I also checked the logs that you provided on the chat session but I was unable to find anything which could give us any idea about the reason for this issue. I have compared the configuration of Instance i-","Sep 14, 2020",RE:[CASE 7380713151] Chat: instance went to 1/2,"September 14, 2020 12:57:32",1,hello balaji sajid support today chat session hence share summary conversation detail concern instance utc instance ami issue assistance tool instance instance instance status check time graph reason instance status check failure example problem instance status check system status check issue host instance networking startup configuration memory file system kernel hardware instance anything graph status check http metric status check failure link http html log chat session anything idea reason issue configuration instance
7380937061,ALL_DEPRECATED,Elastic Compute Cloud (EC2 - Linux),APAC,INDIA,pauyen,"实例已经终止了,能恢复吗,数据能恢复吗 Instance ID(s):  i-08fdcb54e2d31023e","Sep 14, 2020","实例已经终止了,能恢复吗","September 14, 2020 11:54:03",3,能恢复吗 数据能恢复吗 instance id
7380966401,Delhivery,Elastic Compute Cloud (EC2 - Linux),APAC,INDIA,andrse,"Hi ,  For below Two Instance response time is very high. Please check is this network issue ..??  i-0f3e3471ab9dafb6d i-0537a66cfa7c960f3","Sep 14, 2020",Chat: Two Instance response time is high,"September 14, 2020 11:35:10",5,hi instance response time please check network
7381203941,Jubilant FoodWorks Limited,Elastic Compute Cloud (EC2 - Linux),APAC,INDIA,agaashut,"Team, Need assistance in choosing CentOS 8 Image please","Sep 14, 2020",Chat: CentOS 8,"September 14, 2020 13:43:41",4,team cent image please
7381317241,TataSky Ltd,Elastic Compute Cloud (EC2 - Linux),APAC,INDIA,apeksh,Need help to understand how to connect if server went to maintenance mode.,"Sep 14, 2020","Call: Get Help Servers connection issue (i-02235925dee348b0f, i-00f4155168c407252)","September 14, 2020 14:30:38",4,need help mode
7381743031,Ibibo Group,Elastic Compute Cloud (EC2 - Linux),APAC,INDIA,jhhillie,"We issued AMI creation command on the instance `i-079fd5e6d02ca34c4` at around 8:00 PM(IST). At the same time, the systemctl services inside the instance got restarted/killed. The systemctl services which did not have a restart sequence remained stopped while the systemctl services with the restart sequence got restarted. We are not sure why this happened during the AMI creation and needed help in finding the reason for this.","Sep 14, 2020",Systemctl services restarted on AMI copy,"September 14, 2020 16:31:26",4,ami creation command instance pm time systemctl service instance systemctl service sequence systemctl service restart sequence ami creation need help reason
7382160731,Zee Entertainment Enterprises Ltd,Elastic Compute Cloud (EC2 - Linux),APAC,INDIA,hitespol,need Information about new conlsole of Launch configuration. Instance ID(s):,"Sep 14, 2020",Call: Launch configuration issue,"September 14, 2020 18:14:50",4,information conlsole configuration instance id
